**********  emmision probabilities  **********
P(Et | Xt)
P( z | p ) = 0.000488 

P( _ | q ) = 0.008721 
P( a | q ) = 0.081395 
P( b | q ) = 0.008721 
P( c | q ) = 0.008721 
P( d | q ) = 0.008721 
P( e | q ) = 0.008721 
P( f | q ) = 0.008721 
P( g | q ) = 0.008721 
P( h | q ) = 0.008721 
P( i | q ) = 0.008721 
P( j | q ) = 0.008721 
P( k | q ) = 0.008721 
P( l | q ) = 0.008721 
P( m | q ) = 0.008721 
P( n | q ) = 0.008721 
P( o | q ) = 0.008721 
P( p | q ) = 0.008721 
P( q | q ) = 0.668605 
P( r | q ) = 0.008721 
P( s | q ) = 0.008721 
P( t | q ) = 0.008721 
P( u | q ) = 0.008721 
P( v | q ) = 0.008721 
P( w | q ) = 0.098837 
P( x | q ) = 0.008721 
P( y | q ) = 0.008721 
P( z | q ) = 0.008721 

P( _ | r ) = 0.000193 
P( a | r ) = 0.000193 
P( b | r ) = 0.000193 
P( c | r ) = 0.000193 
P( d | r ) = 0.052455 
P( e | r ) = 0.050135 
P( f | r ) = 0.049104 
P( g | r ) = 0.000193 
P( h | r ) = 0.000193 
P( i | r ) = 0.000193 
P( j | r ) = 0.000193 
P( k | r ) = 0.000193 
P( l | r ) = 0.000193 
P( m | r ) = 0.000193 
P( n | r ) = 0.000193 
P( o | r ) = 0.000193 
P( p | r ) = 0.000193 
P( q | r ) = 0.000193 
P( r | r ) = 0.790824 
P( s | r ) = 0.000193 
P( t | r ) = 0.054388 
P( u | r ) = 0.000193 
P( v | r ) = 0.000193 
P( w | r ) = 0.000193 
P( x | r ) = 0.000193 
P( y | r ) = 0.000193 
P( z | r ) = 0.000193 

P( _ | s ) = 0.000165 
P( a | s ) = 0.042633 
P( b | s ) = 0.000165 
P( c | s ) = 0.000165 
P( d | s ) = 0.040215 
P( e | s ) = 0.000165 
P( f | s ) = 0.000165 
P( g | s ) = 0.000165 
P( h | s ) = 0.000165 
P( i | s ) = 0.000165 
P( j | s ) = 0.000165 
P( k | s ) = 0.000165 
P( l | s ) = 0.000165 
P( m | s ) = 0.000165 
P( n | s ) = 0.000165 
P( o | s ) = 0.000165 
P( p | s ) = 0.000165 
P( q | s ) = 0.000165 
P( r | s ) = 0.000165 
P( s | s ) = 0.795956 
P( t | s ) = 0.000165 
P( u | s ) = 0.000165 
P( v | s ) = 0.000165 
P( w | s ) = 0.038457 
P( x | s ) = 0.042303 
P( y | s ) = 0.000165 
P( z | s ) = 0.037908 

P( _ | t ) = 0.000116 
P( a | t ) = 0.000116 
P( b | t ) = 0.000116 
P( c | t ) = 0.000116 
P( d | t ) = 0.000116 
P( e | t ) = 0.000116 
P( f | t ) = 0.049607 
P( g | t ) = 0.049529 
P( h | t ) = 0.000116 
P( i | t ) = 0.000116 
P( j | t ) = 0.000116 
P( k | t ) = 0.000116 
P( l | t ) = 0.000116 
P( m | t ) = 0.000116 
P( n | t ) = 0.000116 
P( o | t ) = 0.000116 
P( p | t ) = 0.000116 
P( q | t ) = 0.000116 
P( r | t ) = 0.050995 
P( s | t ) = 0.000116 
P( t | t ) = 0.800802 
P( u | t ) = 0.000116 
P( v | t ) = 0.000116 
P( w | t ) = 0.000116 
P( x | t ) = 0.000116 
P( y | t ) = 0.047215 
P( z | t ) = 0.000116 

P( _ | u ) = 0.000401 
P( a | u ) = 0.000401 
P( b | u ) = 0.000401 
P( c | u ) = 0.000401 
P( d | u ) = 0.000401 
P( e | u ) = 0.000401 
P( f | u ) = 0.000401 
P( g | u ) = 0.000401 
P( h | u ) = 0.050508 
P( i | u ) = 0.051844 
P( j | u ) = 0.044094 
P( k | u ) = 0.000401 
P( l | u ) = 0.000401 
P( m | u ) = 0.000401 
P( n | u ) = 0.000401 
P( o | u ) = 0.000401 
P( p | u ) = 0.000401 
P( q | u ) = 0.000401 
P( r | u ) = 0.000401 
P( s | u ) = 0.000401 
P( t | u ) = 0.000401 
P( u | u ) = 0.79984 
P( v | u ) = 0.000401 
P( w | u ) = 0.000401 
P( x | u ) = 0.000401 
P( y | u ) = 0.047301 
P( z | u ) = 0.000401 

P( _ | v ) = 0.000824 
P( a | v ) = 0.000824 
P( b | v ) = 0.041735 
P( c | v ) = 0.045579 
P( d | v ) = 0.000824 
P( e | v ) = 0.000824 
P( f | v ) = 0.053267 
P( g | v ) = 0.059857 
P( h | v ) = 0.000824 
P( i | v ) = 0.000824 
P( j | v ) = 0.000824 
P( k | v ) = 0.000824 
P( l | v ) = 0.000824 
P( m | v ) = 0.000824 
P( n | v ) = 0.000824 
P( o | v ) = 0.000824 
P( p | v ) = 0.000824 
P( q | v ) = 0.000824 
P( r | v ) = 0.000824 
P( s | v ) = 0.000824 
P( t | v ) = 0.000824 
P( u | v ) = 0.000824 
P( v | v ) = 0.786381 
P( w | v ) = 0.000824 
P( x | v ) = 0.000824 
P( y | v ) = 0.000824 
P( z | v ) = 0.000824 

P( _ | w ) = 0.000711 
P( a | w ) = 0.045993 
P( b | w ) = 0.000711 
P( c | w ) = 0.000711 
P( d | w ) = 0.000711 
P( e | w ) = 0.043623 
P( f | w ) = 0.000711 
P( g | w ) = 0.000711 
P( h | w ) = 0.000711 
P( i | w ) = 0.000711 
P( j | w ) = 0.000711 
P( k | w ) = 0.000711 
P( l | w ) = 0.000711 
P( m | w ) = 0.000711 
P( n | w ) = 0.000711 
P( o | w ) = 0.000711 
P( p | w ) = 0.000711 
P( q | w ) = 0.051209 
P( r | w ) = 0.000711 
P( s | w ) = 0.052157 
P( t | w ) = 0.000711 
P( u | w ) = 0.000711 
P( v | w ) = 0.000711 
P( w | w ) = 0.795638 
P( x | w ) = 0.000711 
P( y | w ) = 0.000711 
P( z | w ) = 0.000711 

P( _ | x ) = 0.00519 
P( a | x ) = 0.00519 
P( b | x ) = 0.00519 
P( c | x ) = 0.038062 
P( d | x ) = 0.062284 
P( e | x ) = 0.00519 
P( f | x ) = 0.00519 
P( g | x ) = 0.00519 
